title,description,city,state,zipcode,salary,company,rating,reviews
Machine Learning Engineer,"About Hive

Hive is a full-stack deep learning platform helping to bring companies into the AI era. We take complex visual challenges and build custom machine learning models to solve them. For AI to work, companies need large volumes of high quality training data. We generate this data through Hive Data, our proprietary data labeling platform with over 1,000,000 globally distributed workers, generating millions of high quality pieces of data per day. We then use this training data to build machine learning models for verticals such as Media, Autonomous Driving, Security, and Retail. Today, we work with some of the largest companies in the world to redefine how they think about unstructured visual data. Together, we build solutions that incorporate AI into their businesses to completely transform industries.

We are fortunate that investors like Peter Thiel (Founders Fund), General Catalyst, 8VC, and others see Hive's potential to be groundbreaking in AI business solutions. We have over 160 talented individuals globally in our San Francisco and Delhi offices. Please reach out if you are interested in joining the AI revolution!

Machine Learning Role

In order to execute our vision, we need to grow our team of best-in-class machine learning engineers. We are looking for developers who are excited about staying at the forefront of deep learning technology, prototyping state-of-the-art neural net models and launching these models into production. We value hard workers who have no qualms working with terabyte-scale datasets, who are interested in learning new technologies at all levels of the machine learning stack, and who move fast and take ownership of their projects. Our ideal candidate has experience creating a working machine learning-powered project from the ground up, contributes innovative ideas and ingenious implementations to the team, and is capable of planning out scalable, maintainable data pipelines.
Responsibilities
Everything involved in applying a ML model to a production use case, including, designing and coding up the neural network, gathering and refining data, training and tuning the model, deploying it at scale with high throughput and uptime, and analyzing the results in the wild in order to continuously update and improve accuracy and speed
Interface closely with the Backend and DevOps teams as well as with our internal data labeling services
Requirements
You have an undergraduate or graduate degree in computer science or similar technical field, with significant coursework in mathematics or statistics
You have 1-2 years industry machine learning experience
You have successfully trained and deployed a deep learning machine model (image, NLP, video, or audio) into production, with measurably improved performance over baseline, either in industry or as a personal project
You have strong experience with a high-level machine learning frameworks such as Tensorflow, Caffe, or Torch, and familiarity with the others
You know the ins and outs of Python, especially as it applies to the above ML frameworks
You are capable of quickly coding and prototyping data pipelines involving any combination of Python, Node, bash, and linux command-line tools, especially when applied to large datasets consisting of millions of files
You have a working knowledge of the following technologies, or are not afraid of picking it up on the fly: C++, Scala/Spark, SQL, Cassandra, Docker
You are up-to-date on the latest deep neural net research and architectures, both in understanding the theory and motivations behind the techniques, as well as how to implement them in the ML framework of your choice
You have great communication skills and ability to work with others
You are a strong team player, with a do-whatever-it-takes attitude
What We Offer You

We are a group of ambitious individuals who are passionate about creating a revolutionary machine learning company. At Hive, you will have a significant career development opportunity and a chance to contribute to one of the fastest growing AI startups in San Francisco. The work you do here will have a noticeable and direct impact on the development of Hive.

Our benefits include competitive pay, equity, health / vision / dental insurance, catered lunch and dinner, a corporate gym membership, etc.

Thank you for your interest in Hive.",San Francisco,CA,,,Hive,3.6,31 
AI/ML - Machine Learning Infrastructure Engineer,"Summary
Posted: Aug 21, 2020
Weekly Hours: 40
Role Number:200160836
Play a part in the next revolution in human-computer interaction. Contribute to a product that is redefining mobile computing. Build groundbreaking technology for large scale systems, spoken language, big data, and artificial intelligence. And work with the people who built the intelligent assistant that helps millions of people get things done through natural interaction. Join the Siri Understanding / Machine Hearing group at Apple. We are looking for exceptional machine learning infrastructure engineers passionate about customer experiences, who love working with ML modeling production pipeline, which impacts the efficiency of delivering the best ML models in Apple products used by millions of customers all over the world.
Key Qualifications
Experiences in design, development and maintenance of tools for ML modeling pipeline, including big data processing, model training and evaluation, continuous integration and development, model quality monitoring and analytics
Strong programming skills in C/C++ and/or Java/Scala as well as scripting languages such as Python and Bash
Strong analytical skills and a real passion for efficiency of modeling process
Knowledge with common deep learning toolkits in preferred
Knowledge and experiences with AWS cloud computing and Kubernetes is preferred
Prior experience working on analyzing and processing large amounts of data under Apache Hadoop and Spark is a plus
Description
You will be a part of a small, collaborative team of talented researchers and engineers responsible for building tools to process and manage training and test data, automate and optimize model training and evaluation process, and monitor the quality and efficiency of production models that machine hearing team builds and delivers. Directly contribute to the accuracy of Siri in all supported languages and devices. You should thrive in a fast paced environment with rapidly changing priorities, and collaborate well with other engineering teams at Apple.
Education & Experience
B.S or M.S in Computer Science, or equivalent experience
Additional Requirements
Familiarity with large-scale data processing and data analytics tools is a huge plus.
Previous experience in a prototyping team or role is a big plus.",Seattle,WA,,,Apple,4.2,9782 
VP – Product Management,"About Live Objects
Live Objects delivers continuous business process optimizations to the enterprise through AI-driven automation of discovery, design and process engineering by mining patterns in business objects, cases and transactions across all process variations. The product integrates deeply with business process management platforms (like SAP, Salesforce etc.) and delivers continuous process engineering natively as on-demand compositions through the platform’s interfaces. Live Objects’ path-breaking process-calculus engine models predictive, diagnostic and quality related projections for live cases in business processes. Its AI-driven on-demand process reengineering engine composes process enhancements with rule-based associations with business objects for delivering quantified time, process, margin and cost efficiency gains. The on-demand compositions can be subject to review by functional subject matter experts in CRM, ERP, MRP, order-to-cash etc. before deploying them into live business processes. Ongoing client engagements include self-optimizing a wide spectrum of business processes including master data management, order-to-cash, sales distribution and supply-chain management. Live Objects has the opportunity to realize the “Autonomous Enterprise” vision with business processes that can self-optimize in fast-changing business ecosystems, as well as proactively respond to internal & external risks. The company is based in Palo Alto and venture funded by The Hive. The Hive is a fund and co-creation studio for AI powered enterprise applications.

About the role
The VP Product Management role gives the successful candidate the opportunity of championing the disruptive wave of artificial intelligence in the multi-billion-dollar business process design, engineering and implementation industry, while being a startup executive in the Bay Area. The role is pivotal to delivering the product vision through leading all aspects of product management, product partnership management, early customer success and technical product marketing.

Responsibilities
Drive Live Objects’ product vision, direction, and business plans, including product plans/roadmaps, product evolution and product lifecycle
Derive measures to quantify Live Objects’ product success and device strategies to deliver customer delight. This includes developing business cases, identifying and assessing business opportunities and determining strategic fit conditioned by technical feasibility.
Identify, develop, and manage contractual, technical, and consulting relationships with strategic partners and providers, including joint ventures and projects
Gather, validate, and evaluate product/market requirements through market and customer research, competitive and product research.
Develop functional specifications for assigned product features to include effective product and user interface design, rapid prototyping, product validation testing, and usability testing, while ensuring that the product strategy is adhered to throughout the product life cycle
Drive the pricing and cross functional requirements (sales, channels, services and marketing) in order to bring offer(s) to market
Work very closely with engineering to drive disruptive innovation and development prioritization at the fast pace of an early-stage startup
Represent Live Objects in industry-wide forums

About You
You have deep domain background in business process platforms (e.g.: SAP, Oracle BPM, etc.), business process engineering, process mining and application of AI & data-driven methods in the enterprise
You have familiarity with cloud-based business process delivery (e.g.: Salesforce, WorkDay etc.) to large enterprises
You have deep experience working with large enterprise organizations across corporate IT, data warehousing, lines of business and the CFO’s office
You have an engineering background with familiarity of trends in cloud, automation and datadriven inferencing like AI, NLP and conversational agents
You are smart, get things done, have great energy and thrive in a fast paced early-stage startup environment
You have passion for creating customer value by applying cutting edge innovations in data science & technology
You have a track record of bringing disruptive technologies to market
You can rally developer communities with excitement around new capabilities and business models driven by technology disruptions
You have a deep understanding of machine learning, knowledge-based ontologies and data processing technologies
Please send your resumes to jobs@liveobjects.ai",Palo Alto,CA,94301,,LIVE OBJECTS,,
Compute Performance Developer Technology Engineer - New College Graduate,"We are now looking for a Compute Performance Developer Technology Engineer - New College Graduate:
NVIDIA is hiring passionate, world-class computer scientists to work in its Compute Developer Technology (Devtech) team. In this role, you will research and develop techniques to GPU-accelerate leading applications in high-performance computing fields within scientific computing, computational engineering, and data science. You will be performing in-depth analysis and optimization to ensure the best possible performance on current and next-generation GPU architectures.
What you will be doing:
Working directly with key application developers to understand the current and future problems they are solving, crafting and optimizing core parallel algorithms and data structures to provide the best solutions using GPUs, through both library development and direct contribution to the applications.
Collaborating closely with diverse groups at NVIDIA such as the architecture, research, libraries, tools, and system software teams to influence the design of next-generation architectures, software platforms, and programming models, by investigating the impact on application performance and developer productivity.
You will need to travel from time to time for conferences and for on-site visits with developers
What we need to see:
You are pursuing a BS, MS, or PhD in an engineering or computer science related discipline. While not a requirement, specialization in telecommunications, medical imaging, machine learning, deep learning, or natural sciences is helpful.
Programming fluency in C/C++ and/or Fortran with a deep understanding of software design, programming techniques, and algorithms.
Strong mathematical fundamentals, including linear algebra and numerical methods.
Experience with parallel programming, ideally CUDA C/C++ and OpenACC.
Strong communication and organization skills, with a logical approach to problem-solving, good time management, and task prioritization skills.
With highly competitive salaries and a comprehensive benefits package, NVIDIA is widely considered to be one of the technology industry's most desirable employers. We have some of the most brilliant and talented people in the world working with us and our engineering teams are growing fast in some of the hottest and state of the art fields: Deep Learning, Artificial Intelligence, Autonomous Vehicles, Supercomputing and more. Are you a creative and autonomous computer scientist with a real passion for parallel computing? If so, we want to hear from you.
**Please note that Santa Clara, CA is the preferred location; however, we are open to hiring across all US offices**
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression , sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.
#deeplearning",Santa Clara,CA,,,NVIDIA,4.2,228 
"Software Engineer, Backend - University Graduate, 2021","About Verkada
At Verkada, we’re rethinking what it means to be physically safe. Today, we build security cameras that detect action, identify danger and help keep people and places safe and secure. Using a combination of software and hardware, we’re transforming an industry that has seen little innovation for decades—and we already support thousands of customers. But this is just the beginning. We envision a world in which security systems feel as seamless and modern as the organizations they protect and our enterprise solution becomes a model for not just business security, but public security as well.

The Role
We are looking for software engineers who thrive in a startup culture working alongside teammates to launch products that will be utilized by customers across the globe. As part of the Software Engineering team, you’ll have ownership of one or more projects on various teams including backend/infrastructure, mobile, firmware, or frontend/UI. You will work across the full software stack and collaborate cross functionally to build the latest iterations of Verkada’s flagship software enabling our best-in-class security systems.
Responsibilities
Work with computer vision engineers to experiment with machine learning and AI data models and applications.
Maintain the offline processing queue for reliably generating video exports in the face of unreliable remote connections.
Specify and add API endpoints to change camera image tuning properties.
Architect distributed real-time data connections between camera cloud user.
Build a high-performance, multiplexing video transcoding service.
Define and improve service-oriented architectures.
Requirements
BS/MS in Computer Science, something similar or equivalent work experience.
Internship experience developing and launching products.
Adept in at least one common server programming language and scalable backend design including databases, queues and blob storage.
Experience working in an agile team software development environment.
Experience working in a fast-paced startup environment (< 500 people).
Comfortable with Python, SQL, Software Architecture, Distributed Systems, Operating Systems, AWS, Docker, etc.
About our team
Behind the scenes, we’re a team of computer scientists, hardware engineers and experienced founders who saw a chance to make a real impact. We’re united by the challenge of building beautiful products, designed for real people—and by our commitment to using technology responsibly. We believe keeping data private and secure is core to our safety as individuals, businesses and communities and we put great care into building systems that embody our values as people. Likewise, many of Silicon Valley’s top investors believe in us: we’re backed by Sequoia Capital, FirstRound, Meritech and Siemens (Next47).

Verkada is an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status, and encourage all qualified applicants to apply.",San Mateo,CA,94401,,Verkada,,
Principal Data Scientist,"Provides strategic leadership for the development, validation and delivery of algorithms, statistical models and reporting tools. Acts as the analytic team lead for highly complex projects involving multiple resources and tasks, providing individual mentoring in support of company objectives.

Fundamental Components
Leads development and execution of new and/or highly complex algorithms and statistical predictive models and determines analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes. Establishes analytical rigor and statistical methods to analyze large amounts of data, using advanced statistical techniques and mathematical analyses. Manages highly complex analytical projects from data exploration, model building, performance evaluation and testing. Applies in-depth knowledge of systems and products to consult and advise on additional efforts across organization/enterprise. Motivates team members and probes into technical details, and mentors others to do the same. Provides thought leadership and direction for analytic solutions, tools and studies. Anticipates and solves strategic and high risk business problems with broad impact on the business area by applying leading-edge theories and techniques to investigate problems, detect patterns and recommend solutions. Provides guidance to develop enterprise-wide analytics strategy and roadmap. Interacts with internal and external peers and management to share highly complex information/solutions related to areas of expertise and/or to gain acceptance of new or enhanced technology/ business solutions.

Background Experience
Excellent analytical and problem solving skills.Strong organizational, management and leadership skills.Superior skills to effectively communicate and negotiate across the business and in the external health care environment.Expertise in advanced analytics tools and languages to analyze large data sets from multiple data sources.Expertise in innovating and implementing novel machine learning techniques.Comprehensive knowledge on health care industry, products, systems, business strategies and products.Demonstrates advanced in-depth specialization in mathematical analysis methods, machine learning, statistical analyses, and predictive modeling.Superior ability to communicate technical ideas and results to non-technical clients in written and verbal form.10 or more years of progressively complex related experience. Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.Master’s degree or PhD preferred.

Education
Master's degree

Percent of Travel Required
0 - 10%

Business Overview
Aetna, a CVS Health company, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.

We are committed to maintaining a diverse and inclusive workplace. CVS Health is an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, gender, gender identity, age, disability or protected veteran status. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",Cupertino,CA,,,CVS Health,3.3,24970 
Senior Program Manager,"The Team

In this role, you’ll be a part of the Applied AI and Partnerships team. We are a core group of Software Engineers, Researchers and Program Managers within OpenAI who work to provide a best-in-class application of most advanced AI technologies to real world problems while also working to accelerate OpenAI’s research. We build partnerships to enable and accelerate the next generation of research ideas and to support OpenAI as an organization, and collaborate with partners to apply our advanced technology to real world problems.

The role

The specific purpose of this unique, new role is to partner with the internal teams at OpenAI and external partners to lead multiple complex projects including commercialization of technologies, research collaborations, business negotiations, and other key organizational projects. It will involve handling key relationships with internal partners and external organizations. This opportunity will suit anyone with significant expertise in leading large, complex projects, ideally in a dynamic technology setting. This role requires robust planning to ensure projects are delivered on time and requirements are met before they are needed, combined with creativity and dynamic pragmatism.

Key responsibilities

There are three axes to the responsibilities in this role: 1) enabling teams, 2) planning and leading projects, 3) understanding AGI research.
You'll define, lead and project-manage specific strategic projects from initiation to completionYou'll maintain the relationship with our external partners, ensuring their efforts are coordinated to deliver the project within agreed timeframesYou will translate any business requirements effectively into a technical build in collaboration with the technical teamYou'll effectively keep internal partners involved and informed about the project status and progressYou'll build trust and the ability to thought partner with researchers and engineersUsing your knowledge of multiple project methodologies, you'll deliver bespoke approaches for the team(s) you partner with.Identifying the need to improve ways of working, tools or processesYou'll take responsibility for end-to-end lifecycle of project deliverables and dependenciesYou'll organize and optimize technical projects into clear goals, objectives, sub-projectsYou'll think ahead and handle priorities and risks, anticipating issues and propose solutionsYou'll display flexibility and adaptability to adjust project plans and strategies as new information is gained or as project conditions changeYou'll evaluate the success of programs against their aims, goals and objectives, and share lessons across the businessYou'll actively share critical information with key decision makers and partners, driving the best outcome for OpenAIMaintain up-to-date research program informationBecome a trusted advisor: Know enough about any given project’s problem area to have an informed opinion and be able to influence decisions.Working with cross functional teams across OpenAI and Microsoft to foster relationships and help ensure good project collaboration, using your technical understanding to advocate for good solutionsYou’ll achieve a level of technical depth for quality planning and decision inputsYou’ll support investigations of new technology commercialization opportunities and prototyping efforts.You’ll help ensure the forward-looking impact of applied projects are beneficial to humanity, in line with OpenAI’s mission; this could include collaborating with the policy team.

About OpenAI

We’re building safe Artificial General Intelligence (AGI), and ensuring it leads to a good outcome for humans. We believe that unreasonably great results are best delivered by a highly creative group working in concert. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

This position is subject to a background check for any convictions directly related to its duties and responsibilities. Only job-related convictions will be considered and will not automatically disqualify the candidate. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Benefits
Health, dental, and vision insurance for you and your family
Unlimited time off (we encourage 4+ weeks per year)
Parental leave
Flexible work hours
Lunch and dinner each day
401(k) plan",San Francisco,CA,94103,,OpenAI,,
Machine Learning / AI - Engineering & Research Internship,"Summary
Posted: May 4, 2020
Weekly Hours: 40
Role Number:200169045
Apple is seeking highly qualified people for the position of AI/ML Engineer and AI/ML Researcher. The team pursues research & development in the areas of machine learning (ML) with particular focus on deep learning (DL), computer vision (CV), natural language processing (NLP), information retrieval (IR), and reinforcement learning (RL). As a member of the team, you will work on some of the most challenging technical problems, develop new ML solutions that will impact future Apple products, and collaborate with the best product teams to integrate your ideas into products.
Key Qualifications
In-depth expertise in deep learning (DL) and statistical machine learning (ML)
Expertise in one or more of CV, NLP, RL, IR, search and speech, optimization, time series, generative models, signals, pattern recognition fields, and/or computer graphics fields
Strong publication record demonstrating innovative research
Good presentation skills
Passionate about building extraordinary products
Excellent programming skills in Java, Python, C/C++, CUDA or other GPGPU is a plus
Knowledge of common ML frameworks
Expected to perform well in a fast-paced environment, to execute on the tasks assigned, to meet the production deadlines and, at the same time, to explore independently new innovative ideas that can improve and transform the product experience of Apple customers
Be able to deliver ML technologies aligned with the core values of Apple, ensuring the highest standards of quality, scientific rigor, innovation, and respect for user privacy
Creative, collaborative, and product focused
Description
You will research and develop innovative ML strategies for challenging problems that will affect future Apple products. You will collaborate with broader teams across Apple to transfer AI/ML solutions. You will have opportunities to provide technical mentorship and guidance and prepare technical reports for publication and conference talks. You are self-motivated, excellent problem solver, a go-getter. You are quick to build relationships and work well with change and ambiguity. You have strong programming skills with tried experience crafting, prototyping, and delivering advanced algorithmic solutions.
Internship opportunities are available in Cupertino, San Francisco, Seattle, and Boston.
Education & Experience
Currently pursuing a PhD, Masters, or Bachelors degree in Machine Learning, Human Computer Interaction, Natural Language Processing, Robotics, Computer Science, Data Science, Statistics or related areas.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Santa Clara Valley,CA,95014,,Apple,4.2,9782 
Machine Learning Scientist - News,"Summary
Posted: Oct 22, 2019
Weekly Hours: 40
Role Number:200114338
Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.
Does an exciting, dynamic, fast paced and pressure-filled environment catch your attention? Do you like puzzles and determining solutions that are not obvious? Terrific! Consider joining us.
The News team at Apple is looking for smart, creative scientists and algorithm design experts to build a new generation of applications. You will contribute to applications and services including News on iOS that transform data into elegant products that delight, connect, and inspire users every day.
Key Qualifications
Strong software development practices
Strong Java experience
Strong background in Algorithms and Machine Learning
Strong background in Deep Learning, Information Retrieval, or NLP
Experience with Scala or Clojure is a plus
Experience with Weka or scikit-learn is a plus
Experience with text-related tasks such as named entity labeling, topic classification, clustering, and indexing
Experience processing large-scale data sets using Mesos, Spark, or Hadoop
Description
We're looking for smart and original engineers and scientists with a deep background in computer science, especially machine learning, information retrieval, and scalable distributed computing. Your passion for leading edge technologies will be critical to your project and a key component to our team of world class engineers and designers who are driven to create the next big thing.
Join us to enhance the lives of millions of users. You will:
- Design and implement production algorithms that process text and other data, and make the impossible possible
- Prototype ideas and fail quickly
- Communicate advances and ideas to a focused team
- Develop innovative tools and metrics that change the way we look at problems
- Join a thriving Machine Learning community at Apple (https://machinelearning.apple.com)
Education & Experience
Ph.D. in computer science, mathematics, electrical engineering, or related discipline.",Santa Clara Valley,CA,95014,,Apple,4.2,9782 
Senior Data Scientist,"Data-Core Systems Inc. is a worldwide provider of information technology and business process outsourcing services. Data-Core combines technology innovation, business process expertise, and a global, collaborative workforce that exemplifies the future of work.


Data Engineering at Data-Core Systems is inspired to build best in class customer experience and revolutionize the food and drug retail industry. We are looking for people who are excited about reimagining the grocery experience by harnessing the power of data and digital technologies. The Data Engineering team uses the Big Data paradigm to make data available for data scientists and a multitude of other business users to draw insights to delight our customers, to improve store operations, to optimize the supply chain, and to proactively improve product lifecycle. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into business impacts on a regular basis.

The ideal candidate will have a background in computer science or a related technical field with experiences working with large data sets, analytical platforms, and a passion for enabling data-driven decision making. A successful candidate will be both technically strong and business savvy, with a passion to make an impact through creative storytelling and timely actions. You are a self-starter, smart yet humble, with a bias for action.


The Senior Data Scientist is responsible for advising the business on the potential of data, to provide new insights into the business's mission, and through the use of advanced statistical analysis, data mining, and data visualization techniques, to create solutions that enable enhanced business performance.

Responsibility Statements.

Mines and extracts data and apply statistics and algorithms necessary to derive insights for the company.Supports the generation of an automated insights generation framework for the company’s business partners to effectively interpret data.
Provides actionable insights through data science on Personalization, Search & Navigation, SEO & Promotions, Supply Chain, Services, other company priorities, etc.Tracks the company’s success through the development of dashboard reports that measure financial results, customer satisfaction, and engagement metrics.
Conducts deep statistical analysis, including predictive and prescriptive modeling in order to provide a competitive advantage to the company.Maintains expert-level knowledge on industry trends, emerging technologies, and new methodologies and applies it to projects as well as using it to guide team members.
Leads automation and analytical projects, collaborating across functions in the companyResponsible for influencing, leading the thought process, and defining the appropriate methodology for team members.


Qualifications

Bachelor's Degree in computer science, engineering or related fieldUses best practices to develop statistical and machine learning techniques to build models that improve the accuracy of our data and decisions made from data analysisSupport methodological projects from beginning to end; plan, manipulate, analyze, and interpret large data sources; develop, validate, implement models; tell a story from data through analysesParticipate in the broader data science, statistical, and/or machine learning communities to stay current with the latest techniques and softwareKnowledge of data design and analysis, inclusive of data pre-processing, cleaning, editing, model building, and analysisProficiency in Java, Python, and SQLExcellent problem-solving skillsExcellent verbal and written communication skills


Preferred Qualifications

Master’s Degree in Computer Science, Engineering or related field7 years of progressive, post-bachelor’s experience in Data Engineering/Management, or AnalyticsStrong applied statistical experience and quantitative analysisExperience with smaller statistical samples and “big data” datasetsInnovative thinking around different methods to enhance data offeringsDisposition to simplify, streamline work processes, simply communicate complex statistical conceptsExcellent collaborative and influencing skillsExcellent organizational skills with a high degree of attention to detailExcellent ability to manage multiple projects and meet deadlines",Core System,Inc.,,,"Data-Core System, Inc.",,
UX/UI Designer,"Founded in 2017, percipient.ai is a Silicon Valley based advanced analytics firm building highly scalable and advanced analytics products. We utilize state of the art research in Computer Vision, Artificial Intelligence and Deep Learning solving the most pressing intelligence and national security missions.

We are offering an opportunity to get in on the ground floor of an early stage startup with significant growth potential. You will be working alongside the world’s best Scientists and Engineers in the fields of AI and Computer Vision to deliver the highest quality of products.

What You’ll Do
Collaborate with Product Management, Design Lead and Engineering Leads to design and oversee implementation of features that are in line with product vision & direction.
Execute on visual design stages from wireframing to final hand-off to Engineering.
Take a user-centered design approach and rapidly iterate on designs.
Translate user needs into user stories, wireframes and mockups.
Conceptualize original ideas that bring simplicity and user friendliness to complex design roadblocks.
Work within existing design language to incrementally improve existing user experiences.
Excellent visual design skills with sensitivity to usability.
Ability to solve problems creatively and effectively.
Experience working in an Agile/Scrum design process.
Ask questions, take risks, and champion ideas.
What We Look For
Bachelors in design-related field.
Three or more years of UX/UI design experience.
Strong Portfolio to showcase UX/UI experience.
Expertise in standard UX/UI software such as Sketch, InVision, Zeplin.
Ability to work effectively in a team setting including synthesizing abstract ideas into concrete design.
Ability to understand detailed requirements and design complete user experiences that meet both customer needs and product vision.
Experience in UX design best practices and standards, deep understanding of responsive design.
Ability to clearly and effectively communicate design processes, ideas and solutions to teams.
Be passionate about resolving user pain points through great design.
Be passionate about all things UX and other areas of design and innovation.
Research and showcase knowledge in the industry’s latest trends and technologies.
US permanent residency.
Bonus Points
Preference will be given to candidates who have experience designing complex systems.
Up to date experience with Adobe Creative Cloud Suite.
A willingness and ability to pitch in with product marketing, marketing or other general design requests as needed.
US Citizenship.
Percipient.ai is a proud equal opportunity employer and we are committed to hiring and supporting a diverse workforce. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Santa Clara,CA,,,percipient.ai,,
Database Administrator,"About the CompanyOneida Nation Enterprises is a diverse organization comprised of hospitality, gaming, enterprise, retail and service brands. We offer guests, partners and team members alike a sense of community. We’re a trusted name that signals quality, consistency, superior service and exceptional experiences. Everything we do is in the interest of enriching the lives of customers and employees, investing in and growing the economy and local communities, and securing prosperity for future Oneida generations.About the RoleThe growth in size, complexity and diversity of the Oneida Nation Enterprises necessitates the support of an executive leader to oversee our growing needs in Data Analysis.We are seeking a Senior Database Analyst to fulfill the following duties and responsibilities:Effectively maintains database server performance. Develops and follows proper maintenance plans to keep the database running in optimal state.Successfully implements database designs, data access, table maintenance, replication and other database related issues.Consistently performs and promotes interfacing with Users, Consultants, Technical Teams, and vendors for maximum guidance in determining the most appropriate type of hardware and software installations.Effectively manages the installation and customization of Database platforms to allow personal computers to retrieve information from the midrange servers; as well as allowing data to be entered from the PCs.Assists in the preparation of charts and diagrams to explain database operations to be used for training others in proper use; this includes checklists and processes for Production Support Analysts and Network Technicians.Analyzes workload, including system and utilization trends to ensure adequate performance.Develops and monitors appropriate security procedures to safeguard systems from physical harm and viruses, authorized users, and damage to data. Provides back-up and recovery procedures as needed for all production and test databases.Consistently works closely with IT team to implement necessary changes, upgrades and enhancements to the database systems and promotes an understanding of the philosophies and strategies necessary to support the organization's missions.Job RequirementsA degree in Computer Science or other related technical field: and/or a minimum of equivalent experience of 3-5 years experience working with database management systems.Must possess a minimum of 4 years of SQL Server administration experience with SQL 2012 or above.Experience with .NET/MVC/Javascript development is a plus.Proven experience working with large databases and database performance tuning.Knowledge of scripting languages and tools (shell scripts).Experience with open-source databases is a plus (e.g. MySQL).Experience in iseries DB2 is a plus.Must possess knowledge of database concepts such as schema design, triggers, transaction logs, stored procedures, and backups.Must knowledge of Operating Systems such as Windows, UNIX.Proven ability to work working with Database and Operating Systems technologies, Network Technologies, Hardware technologies, etc.Excellent organizational, verbal, and written communication skills. The ability to perform well in a fast passed environment and meet deadlines is essential.Experienced handling multiple assignments is necessary.Must be able to work independently or as part of a team.Expected to be on call 24/7Must maintain confidentialityBecome part of a growing, exciting organization that offers stability, flexibility, competitive wages, outstanding benefits including medical, dental, vision, paid time off, 401K retirement plan, flexible spending account and many additional employee discounts and amenities.Job Type: Full-timeBenefits:401(k)401(k) MatchingDental InsuranceDisability InsuranceEmployee DiscountFlexible Spending AccountHealth InsuranceLife InsurancePaid Time OffParental LeaveProfessional Development AssistanceReferral ProgramRelocation AssistanceRetirement PlanTuition ReimbursementVision InsuranceWork authorization:United States (Required)Additional Compensation:BonusesStore DiscountsWork Location:One locationSchedule:Monday to Friday8 hour shiftOn callCompany's website:www.turningstone.com/careersBenefit Conditions:Waiting period may applyOnly full-time employees eligibleWork Remotely:No",Verona,NY,13478,,"Oneida Nation Enterprises, LLC",3.6,55 
